牛津
位置：东经 45°0′9″，北纬 20°7′2″，纬度 51.761，经度 -1.262，海拔 63 米
   1863 7 21.8 9.5 0 17.0 ---
   1863 8 21.2 11.9 0 67.1 ---
   1863 9 15.8 7.6 0 70.3 ---
   1863 10 14.1 7.0 2 75.5 ---
   1863 11 10.3 4.6 6 51.1 ---
   1863年12月9日 3.3日 6月27日 ---
   1864 1 4.8 -0.2 13 25.0 ---
   1864 2 5.5 0.0 16 36.9 ---
   1864 3 9.6 1.4 8 62.7 ---
   1864 4 14.2 4.3 0 41.4 ---
   1864 5 18.2 7.9 0 54.8 ---
   1864 6 19.8 9.8 0 25.6 ---
   1864 7 22.8 10.3 0 12.0 ---
   1864 8 21.0 8.8 0 19.8 ---
   1864 9 18.3 9.4 0 74.9 ---
   1864 10 13.6 6.8 0 39.8 ---
   1864 11 8.9 2.0 8 59.4 ---
   1864 12 5.6 1.3 13 9.5 ---
   1865 1 4.7 -0.9 14 78.1 ---
   1865 2 5.0 0.2 13 52.9 ---
   1865 3 6.0 -0.2 13 24.9 ---
   1865 4 17.2 5.4 3 23.3 ---
   1865 5 18.4 8.1 0 55.8 ---
   1865 6 21.9 10.8 0 89.1 ---
   1865 7 22.3 12.5 0 71.1 ---
   1865 8 20.0 10.8 0 79.0 ---
   1865 9 22.3 10.9 0 4.7 ---
   1865 10 14.6 6.1 0 137.7 ---
   1865 11 10.3 4.0 6 65.7 ---
   1865 12 8.4 3.4 4 49.8 ---
   1866 1 8.6 3.4 5 73.1 ---
   1866 2 7.9 1.3 11 73.2 ---
   1866 3 8.4 1.8 9 42.7 ---
   1866 4 13.6 4.7 3 52.2 ---
   1866 5 15.7 4.8 2 42.6 ---
   1866 6 21.9 11.1 0 81.7 ---
   1866 7 21.7 11.2 0 50.4 ---
   1866 8 19.8 11.3 0 75.1 ---
   1866 9 17.0 10.3 0 145.4 ---
   1866 10 14.2 8.0 0 53.4 ---
   1866 11 10.7 3.7 7 38.8 ---
   1866 12 9.2 3.3 7 51.6 ---
   1867 1 4.6 -1.1 18 65.8 ---
   1867 2 10.1 4.4 1 39.3 ---
   1867 3 6.0 0.5 16 73.4 ---
   1867 4 14.0 6.6 0 66.1 ---
   1867 5 16.8 6.8 3 63.9 ---
   1867 6 20.0 9.6 0 49.1 ---
   1867 7 20.3 10.5 0 99.7 ---
   1867 8 21.5 11.8 0 60.8 ---
   1867 9 18.4 9.6 0 41.6 ---
   1867 10 13.5 6.3 1 72.5 ---
   1867 11 8.4 1.6 10 24.4 ---
   1867 12 6.2 0.1 18 35.7 ---
   1868 1 5.9 1.7 11 87.2 ---
   1868 2 9.8 3.3 5 42.3 ---
   1868 3 11.1 2.9 6 38.7 ---
   1868 4 14.1 4.6 5 39.7 ---
   1868 5 20.4 7.8 0 14.9 ---
   1868 6 23.6 9.4 0 23.6 ---
   1868 7 25.8 12.7 0 47.5 ---
   1868 8 22.1 12.5 0 85.8 ---
   1868 9 19.7 9.4 0 101.3 ---
   1868 10 12.7 5.0 3 57.0 ---
   1868 11 7.9 2.6 7 30.7 ---
   1868 12 10.4 5.2 2 105.3 ---
   1869 1 8.2 3.0 5 96.3 ---
   1869 2 10.5 5.1 1 55.2 ---
   1869 3 7.1 1.1 10 33.1 ---
   1869 4 16.0 6.0 0 29.8 ---
   1869 5 15.5 6.5 0 75.9 ---
   1869 6 18.9 8.8 0 36.2 ---
   1869 7 24.1 12.4 0 27.0 ---
   1869 8 21.5 10.7 0 33.6 ---
   1869 9 19.0 11.3 0 112.1 ---
   1869 10 13.9 6.1 4 28.1 ---
   1869 11 10.0 3.2 8 61.3 ---
   1869 12 5.6 1.0 9 87.5 ---
   1870 1 5.9 1.3 10 30.2 ---
   1870 2 5.1 0.8 13 48.7 ---
   1870 3 8.3 1.5 13 42.6 ---
   1870 4 15.6 3.7 4 13.5 ---
   1870 5 18.0 6.3 2 26.3 ---
   1870 6 22.3 11.2 0 17.3 ---
   1870 7 24.9 13.0 0 22.6 ---
   1870 8 21.4 10.6 0 59.8 ---
   1870 9 18.3 8.2 0 33.8 ---
   1870 10 14.1 6.7 0 74.6 ---
   1870 11 8.3 2.1 10 29.6 ---
   1870 12 3.2 -2.3 19 50.9 ---
